founded_year,founder_education_score,article_mentions,sentiment_score,countries_operating,recent_milestone,description,startup_id,problem_addressed,key_metrics,country,founder_network_score,valuation_usd,user_satisfaction_score,market_size_estimate,sector,months_in_operation,keyword_relevance_score,customer_testimonials,investor_readiness_score,social_media_followers,founder_name,founder_experience_years,media_coverage_count,problem_country_alignment,team_size,data_source,startup_name,funding_raised
2016,9.5,29,0.6,35,"Launch in Zambia, seeking NGX listing",Revolutionizing how money moves across Africa by enabling seamless cross-border transactions,REAL_FLUTTERWAVE,Digital Payment,"Powers payments for millions, operates in 35+ countries",Nigeria,7.5,3000000000,8.67056791930324,6000000000,FinTech,108,8.333675114952486,23,100.0,52353,Olugbenga GB Agbooola,10.2,27,9.202965895747152,260,real,Flutterwave,500000000
2021,9.0,16,0.7,27,Acquired Irish currency exchange platform Buttercrane,International payment product helping immigrants thrive financially,REAL_LEMFI,Financial Inclusion,"Over 1 million active users, 300+ employees",Nigeria,7.0,300000000,7.911518977887563,600000000,FinTech,48,8.012637582210358,19,94.96,31349,Ridwan Olalere and Rian Cochran,5.2,10,8.632837843159466,118,real,LemFi,85000000
2011,8.5,26,0.7,5,"Hit profitability since 2023, fastest growing in South Africa",Asset financing platform offering underbanked Africans access to productive assets,REAL_M-KOPA,Financial Inclusion,"Serving 5M+ underbanked Africans, $400M annual revenue",Kenya,7.5,2000000000,8.597567672078041,4000000000,FinTech,168,8.16244852429656,13,100.0,82709,Jesse Moore,14.2,28,8.632968439804673,193,real,M-Kopa,265000000
2020,9.0,28,0.8,6,"Acquired Brazilian startup Kovi, partnership with Waymo",Vehicle financing solutions for ride-hailing platforms through Drive-to-Own product,REAL_MOOVE,Supply Chain,"Global fleet of 36,000 vehicles, $275M annual revenue",Nigeria,8.0,1500000000,8.066649489404398,3000000000,FinTech,60,7.815615915809901,7,100.0,176980,Ladi Delano and Jide Odunsi,7.0,25,6.899640751378582,317,real,Moove,600000000
2023,7.5,14,0.7,2,"Launched Bokra app, expanding across MENA region",Sharia-compliant investment solutions including real estate and precious metals,REAL_BOKRA,Financial Inclusion,Secured $4.6M pre-seed round in April 2024,Egypt,6.5,20000000,6.8271186516016495,40000000,FinTech,24,8.09774545842382,7,48.24,14937,Ayman El-Sawy,2.0,8,7.752953155671272,29,real,Bokra,4600000
2021,7.5,7,0.7,2,"Reached 10 million deliveries, expanded to Ghana",Y Combinator-backed Nigerian food delivery startup,REAL_CHOWDECK,Supply Chain,"500K+ users, 3000+ riders, 10 million deliveries",Nigeria,6.5,15000000,7.111065652701453,30000000,E-commerce,48,7.730955838479165,12,42.92,22313,Femi Aluko,3.2,6,6.771351219133491,62,real,Chowdeck,2500000
2021,7.5,8,0.7,3,"Secured $8M investment, partnered with Nigerias MAX",Ghana-based company specializing in sustainable energy solutions and e-motorcycles,REAL_KOFA,Energy Access,"10+ charging stations, 500 Kore2 batteries, 150 Jidis",Ghana,6.5,50000000,7.276479021703339,100000000,CleanTech,48,8.219745978704955,11,52.84,12667,Not specified,3.2,14,8.909081934657868,57,real,Kofa,8000000
2019,7.5,12,0.7,1,Raised $21.5M in funding over last 12 months,Electric motorcycle startup pioneering transportation sector with e-bikes innovation,REAL_AMPERSAND,Energy Access,"Drivers save $3.51/day on fuel, take home $3.89/day",Rwanda,7.0,100000000,6.753718990104534,200000000,CleanTech,72,8.121799408021936,10,50.17,21716,Not specified,4.800000000000001,6,7.012685773904018,67,real,Ampersand,21500000
2021,7.0,3,0.8,70,Secured public-private partnership with Rwandan government,Dynamic wellness platform promoting healthier lifestyles and disease awareness,REAL_LIFESTEN_HEALTH,Healthcare Access,"11,000+ active users across 70+ countries",Rwanda,5.0,2000000,7.407698588240557,4000000,HealthTech,48,7.246121636080959,3,59.52,6150,Peace Ndoli,3.2,7,8.538669220400191,15,real,Lifesten Health,350000
2014,6.0,3,0.6,4,Digitized education across East Africa for 10+ years,Comprehensive school management system empowering schools to provide quality education,REAL_ACADEMIC_BRIDGE,Education Gap,"500+ schools, 70M+ assessments, 800K+ students",Rwanda,5.0,5000000,6.623298234202763,10000000,EdTech,132,6.1001235653598815,14,44.67,4480,Mariam Muganga,8.8,3,7.630607503575907,23,real,Academic Bridge,1000000
2023,6.0,7,0.6,1,"Won 50,000,000 RWF at Hanga Pitchfest",Climate/agri tech startup using vermin composting to turn organic waste into fertilizer,REAL_LOOPA,Agricultural Efficiency,First place winner at Hanga Pitchfest 2023,Rwanda,7.0,1500000,7.140109948170313,3000000,AgriTech,24,8.273092428904928,4,53.54,7277,Cynthia Umutoniwabo,2.0,6,7.067552732822524,86,real,Loopa,50000000
2018,6.0,3,0.6,2,Completed 200 geophysical surveys across East Africa,Social enterprise providing clean water solutions,REAL_WATER_ACCESS_RWANDA,Energy Access,"290M+ liters sold, 175K+ users, 46 active solar mini-grids",Rwanda,6.5,10000000,6.944884681147784,20000000,CleanTech,84,7.513687511587629,6,39.59,4459,Christelle Kwizera,5.6000000000000005,2,7.2666681424383714,25,real,Water Access Rwanda,2000000
2017,6.0,3,0.6,2,"Forbes Africa 30 Under 30 in 2023, Queens Young Leader Award",Social enterprise providing innovative water solutions to underserved communities,REAL_IRIBA_WATER_GROUP,Energy Access,"Delivered safe water to 517,000+ people in Rwanda and DRC",Rwanda,6.5,8000000,7.305066713482429,16000000,CleanTech,96,7.7425151038397155,4,40.83,3245,Yvette Ishimwe,6.4,3,7.480248929069882,28,real,Iriba Water Group,1500000
2022,6.0,2,0.6,2,Won Africa Green Tech Award in 2023,East Africas first tech-driven e-waste marketplace,REAL_WASTEZON,Energy Access,Africa Green Tech Award winner 2023,Rwanda,5.0,3000000,7.180424608646218,6000000,CleanTech,36,7.922046895399043,5,37.23,2719,Jacqueline Mukarukundo,2.4000000000000004,7,6.732036384028684,8,real,Wastezon,500000
2020,6.0,2,0.6,5,Built sustainable ecosystem for book lovers and educators,"Platform enhancing access to books, promoting literacy, and empowering African authors",REAL_BOOKLY_AFRICA,Education Gap,Promotes literacy and empowers African authors,Rwanda,5.0,2000000,7.390156920632755,4000000,EdTech,60,7.452865989425826,7,45.96,3303,Amina Niyigena,4.0,5,8.316614526467125,17,real,Bookly Africa,300000
